Timestamp,Time,State,Confidence (%),RSSI (dBm),Subcarrier Motion Variance,Security Alert
2026-08-06 14:36:37,14:36:37,Present,88.0,-48.2,0.0,NO
2026-08-06 14:36:39,14:36:39,Present,88.0,-46.9,0.0,NO
2026-08-06 14:36:41,14:36:41,Present,99.0,-46.4,0.0,NO
2026-08-06 14:36:43,14:36:43,Present,99.0,-47.2,0.0,NO
2026-08-06 14:36:45,14:36:45,Present,99.0,-47.6,0.0,NO
2026-08-06 14:36:47,14:36:47,Present,99.0,-45.7,0.0,NO
2026-08-06 14:36:49,14:36:49,Present,99.0,-46.0,0.0,NO
2026-08-06 14:36:51,14:36:51,Present,99.0,-47.1,0.0,NO
2026-08-06 14:36:53,14:36:53,Present,99.0,-46.2,0.0,NO
2026-08-06 14:36:56,14:36:56,Present,99.0,-47.2,0.0,NO
2026-08-06 14:36:58,14:36:58,Present,99.0,-46.4,0.0,NO
2026-08-06 14:37:01,14:37:01,Present,99.0,-47.0,0.0,NO
2026-08-06 14:37:03,14:37:03,Present,99.0,-46.0,0.0,NO
2026-08-06 14:37:05,14:37:05,Present,99.0,-46.3,0.0,NO
2026-08-06 14:37:07,14:37:07,Present,99.0,-47.0,0.0,NO
2026-08-06 14:37:09,14:37:09,Present,99.0,-47.0,0.0,NO
2026-08-06 14:37:11,14:37:11,Present,99.0,-46.8,0.0,NO
2026-08-06 14:37:13,14:37:13,Present,99.0,-46.7,0.0,NO
2026-08-06 14:37:16,14:37:16,Present,99.0,-46.0,0.0,NO
2026-08-06 14:37:18,14:37:18,Present,96.3,-47.5,0.0,NO
2026-08-06 14:37:20,14:37:20,Present,99.0,-46.0,0.0,NO
2026-08-06 14:37:22,14:37:22,Present,88.6,-49.0,0.0,NO
2026-08-06 14:37:24,14:37:24,Present,88.0,-47.3,0.0,NO
2026-08-06 14:37:26,14:37:26,Present,99.0,-47.5,0.0,NO
2026-08-06 14:37:28,14:37:28,Present,99.0,-48.0,0.0,NO
2026-08-06 14:37:30,14:37:30,Present,99.0,-50.3,0.0,NO
2026-08-06 14:37:32,14:37:32,Present,91.8,-47.4,0.0,NO
2026-08-06 14:37:35,14:37:35,Present,99.0,-47.2,0.0,NO
2026-08-06 14:37:37,14:37:37,Present,88.0,-47.0,0.0,NO
2026-08-06 14:37:39,14:37:39,Present,88.0,-47.0,0.0,NO
2026-08-06 14:37:41,14:37:41,Present,99.0,-46.7,0.0,NO
2026-08-06 14:37:43,14:37:43,Present,99.0,-46.0,0.0,NO
2026-08-06 14:37:45,14:37:45,Present,88.0,-46.2,0.0,NO
2026-08-06 14:37:48,14:37:48,Present,88.0,-45.0,0.0,NO
2026-08-06 14:37:50,14:37:50,Present,88.0,-48.1,0.0,NO
2026-08-06 14:37:53,14:37:53,Present,88.0,-48.0,0.0,NO
2026-08-06 14:37:55,14:37:55,Present,88.0,-47.8,0.0,NO
2026-08-06 14:37:57,14:37:57,Present,99.0,-47.9,0.0,NO
2026-08-06 14:37:59,14:37:59,Present,88.0,-49.4,0.0,NO
2026-08-06 14:38:01,14:38:01,Present,88.0,-46.7,0.0,NO
2026-08-06 14:38:03,14:38:03,Present,88.0,-47.9,0.0,NO
2026-08-06 14:38:06,14:38:06,Present,88.0,-47.1,0.0,NO
2026-08-06 14:38:08,14:38:08,Present,88.0,-46.0,0.0,NO
2026-08-06 14:38:10,14:38:10,Present,88.0,-46.5,0.0,NO
2026-08-06 14:38:12,14:38:12,Present,99.0,-47.5,0.0,NO
2026-08-06 14:38:14,14:38:14,Present,88.0,-48.4,0.0,NO
2026-08-06 14:38:16,14:38:16,Present,88.0,-47.0,0.0,NO
2026-08-06 14:38:18,14:38:18,Present,99.0,-48.0,0.0,NO
2026-08-06 14:38:20,14:38:20,Present,88.0,-47.8,0.0,NO
2026-08-06 14:38:29,14:38:29,Present,99.0,-48.0,0.0,NO
2026-08-06 14:38:31,14:38:31,Present,99.0,-47.4,0.0,NO
2026-08-06 14:38:34,14:38:34,Present,99.0,-49.3,0.0,NO
2026-08-06 14:38:36,14:38:36,Present,99.0,-46.9,0.0,NO
2026-08-06 14:38:38,14:38:38,Present,99.0,-48.7,0.0,NO
2026-08-06 14:38:41,14:38:41,Present,99.0,-47.6,0.0,NO
2026-08-06 14:38:43,14:38:43,Present,99.0,-47.1,0.0,NO
2026-08-06 14:38:45,14:38:45,Present,91.8,-47.0,0.0,NO
2026-08-06 14:38:47,14:38:47,Present,99.0,-47.3,0.0,NO
2026-08-06 14:38:50,14:38:50,Present,99.0,-46.9,0.0,NO
2026-08-06 14:38:52,14:38:52,Present,99.0,-46.1,0.0,NO
2026-08-06 14:38:54,14:38:54,Present,99.0,-47.7,0.0,NO
2026-08-06 14:38:56,14:38:56,Present,89.2,-48.0,0.0,NO
2026-08-06 14:38:58,14:38:58,Present,94.2,-46.5,0.0,NO
2026-08-06 14:39:00,14:39:00,Present,99.0,-46.5,0.0,NO
2026-08-06 14:39:03,14:39:03,Present,99.0,-47.8,0.0,NO
2026-08-06 14:39:05,14:39:05,Present,99.0,-46.9,0.0,NO
2026-08-06 14:39:07,14:39:07,Present,99.0,-46.9,0.0,NO
2026-08-06 14:39:10,14:39:10,Present,99.0,-47.0,0.0,NO
2026-08-06 14:39:12,14:39:12,Present,99.0,-48.0,0.0,NO
2026-08-06 14:39:14,14:39:14,Present,99.0,-46.3,0.0,NO
2026-08-06 14:39:16,14:39:16,Present,99.0,-48.6,0.0,NO
2026-08-06 14:39:18,14:39:18,Present,99.0,-47.1,0.0,NO
2026-08-06 14:39:20,14:39:20,Present,99.0,-50.2,0.0,NO
2026-08-06 14:39:22,14:39:22,Present,99.0,-46.9,0.0,NO
2026-08-06 14:39:24,14:39:24,Present,99.0,-46.5,0.0,NO
2026-08-06 14:39:26,14:39:26,Present,99.0,-46.9,0.0,NO
2026-08-06 14:39:29,14:39:29,Present,99.0,-46.9,0.0,NO
2026-08-06 14:39:31,14:39:31,Present,99.0,-46.9,0.0,NO
2026-08-06 14:39:33,14:39:33,Present,99.0,-46.8,0.0,NO
2026-08-06 14:39:36,14:39:36,Present,99.0,-47.0,0.0,NO
2026-08-06 14:39:38,14:39:38,Present,94.8,-47.5,0.0,NO
2026-08-06 14:39:40,14:39:40,Present,97.5,-47.5,0.0,NO
2026-08-06 14:39:42,14:39:42,Present,99.0,-46.8,0.0,NO
2026-08-06 14:39:44,14:39:44,Present,98.3,-47.5,0.0,NO
2026-08-06 14:39:47,14:39:47,Present,99.0,-47.0,0.0,NO
2026-08-06 14:39:49,14:39:49,Present,95.4,-47.9,0.0,NO
2026-08-06 14:39:51,14:39:51,Present,99.0,-47.0,0.0,NO
2026-08-06 14:39:53,14:39:53,Present,99.0,-46.9,0.0,NO
2026-08-06 14:39:55,14:39:55,Present,99.0,-48.0,0.0,NO
2026-08-06 14:39:57,14:39:57,Present,99.0,-47.0,0.0,NO
2026-08-06 14:40:00,14:40:00,Present,99.0,-46.9,0.0,NO
2026-08-06 14:40:02,14:40:02,Present,97.7,-47.6,0.0,NO
2026-08-06 14:40:04,14:40:04,Present,99.0,-47.2,0.0,NO
2026-08-06 14:40:06,14:40:06,Present,99.0,-46.9,0.0,NO
2026-08-06 14:40:08,14:40:08,Present,99.0,-46.0,0.0,NO
2026-08-06 14:40:10,14:40:10,Present,99.0,-47.3,0.0,NO
2026-08-06 14:40:12,14:40:12,Present,99.0,-47.6,0.0,NO
2026-08-06 14:40:14,14:40:14,Present,99.0,-46.9,0.0,NO
2026-08-06 14:40:16,14:40:16,Present,99.0,-48.0,0.0,NO
2026-08-06 14:40:18,14:40:18,Present,99.0,-48.1,0.0,NO
2026-08-06 14:40:21,14:40:21,Present,99.0,-48.9,0.0,NO
2026-08-06 14:40:23,14:40:23,Present,99.0,-46.9,0.0,NO
2026-08-06 14:40:25,14:40:25,Present,99.0,-48.0,0.0,NO
2026-08-06 14:40:27,14:40:27,Present,99.0,-47.8,0.0,NO
2026-08-06 14:40:29,14:40:29,Present,99.0,-48.0,0.0,NO
2026-08-06 14:40:31,14:40:31,Present,99.0,-48.6,0.0,NO
2026-08-06 14:40:33,14:40:33,Present,99.0,-48.0,0.0,NO
2026-08-06 14:40:35,14:40:35,Present,99.0,-50.8,0.0,NO
2026-08-06 14:40:38,14:40:38,Present,99.0,-51.2,0.0,NO
2026-08-06 14:40:41,14:40:41,Present,99.0,-50.4,0.0,NO
2026-08-06 14:40:43,14:40:43,Present,99.0,-50.2,0.0,NO
2026-08-06 14:40:45,14:40:45,Present,99.0,-50.7,0.0,NO
2026-08-06 14:40:47,14:40:47,Present,99.0,-49.1,0.0,NO
2026-08-06 14:40:50,14:40:50,Present,99.0,-48.9,0.0,NO
2026-08-06 14:40:53,14:40:53,Present,99.0,-48.3,0.0,NO
2026-08-06 14:40:55,14:40:55,Present,99.0,-48.9,0.0,NO
2026-08-06 14:40:57,14:40:57,Present,99.0,-50.2,0.0,NO
2026-08-06 14:41:00,14:41:00,Present,88.0,-49.6,0.0,NO
2026-08-06 14:41:02,14:41:02,Present,92.7,-48.0,0.0,NO
2026-08-06 14:41:04,14:41:04,Present,88.0,-49.0,0.0,NO
2026-08-06 14:41:06,14:41:06,Present,88.0,-48.9,0.0,NO
2026-08-06 14:41:08,14:41:08,Present,99.0,-47.1,0.0,NO
2026-08-06 14:41:10,14:41:10,Present,99.0,-47.8,0.0,NO
2026-08-06 14:41:14,14:41:14,Present,98.7,-48.0,0.0,NO
2026-08-06 14:41:16,14:41:16,Present,99.0,-47.0,0.0,NO
2026-08-06 14:41:19,14:41:19,Present,99.0,-47.8,0.0,NO
2026-08-06 14:41:21,14:41:21,Present,99.0,-46.3,0.0,NO
2026-08-06 14:41:23,14:41:23,Present,94.4,-46.6,0.0,NO
2026-08-06 14:41:25,14:41:25,Present,98.6,-46.7,0.0,NO
2026-08-06 14:41:27,14:41:27,Present,99.0,-50.6,0.0,NO
2026-08-06 14:41:29,14:41:29,Present,99.0,-50.6,0.0,NO
2026-08-06 14:41:31,14:41:31,Present,99.0,-49.5,0.0,NO
2026-08-06 14:41:34,14:41:34,Present,99.0,-50.2,0.0,NO
2026-08-06 14:41:36,14:41:36,Present,99.0,-47.0,0.0,NO
2026-08-06 14:41:38,14:41:38,Present,99.0,-47.1,0.0,NO
2026-08-06 14:41:40,14:41:40,Present,99.0,-47.5,0.0,NO
2026-08-06 14:41:42,14:41:42,Present,99.0,-48.0,0.0,NO
2026-08-06 14:41:44,14:41:44,Present,99.0,-47.3,0.0,NO
2026-08-06 14:41:46,14:41:46,Present,99.0,-48.4,0.0,NO
2026-08-06 14:41:48,14:41:48,Present,99.0,-48.7,0.0,NO
2026-08-06 14:41:50,14:41:50,Present,99.0,-50.4,0.0,NO
2026-08-06 14:41:52,14:41:52,Present,99.0,-50.2,0.0,NO
2026-08-06 14:41:55,14:41:55,Present,99.0,-49.8,0.0,NO
2026-08-06 14:41:57,14:41:57,Present,99.0,-49.0,0.0,NO
2026-08-06 14:41:59,14:41:59,Present,99.0,-48.9,0.0,NO
2026-08-06 14:42:01,14:42:01,Present,99.0,-49.6,0.0,NO
2026-08-06 14:42:03,14:42:03,Present,99.0,-46.9,0.0,NO
2026-08-06 14:42:05,14:42:05,Present,99.0,-50.4,0.0,NO
2026-08-06 14:42:07,14:42:07,Present,99.0,-49.9,0.0,NO
2026-08-06 14:42:09,14:42:09,Present,99.0,-48.8,0.0,NO
2026-08-06 14:42:12,14:42:12,Present,99.0,-48.7,0.0,NO
2026-08-06 14:42:14,14:42:14,Present,99.0,-46.0,0.0,NO
2026-08-06 14:42:16,14:42:16,Present,99.0,-46.4,0.0,NO
2026-08-06 14:42:18,14:42:18,Present,99.0,-46.3,0.0,NO
